,site_id,o2_model_rmse,lstm_model_rmse
96,nhdhr_120019704,1.7235584363633738,1.8424879006342865
97,nhdhr_120019854,1.7203128571064237,1.4197827190114416
98,nhdhr_120018038,1.994088833775633,1.4451003896124404
99,nhdhr_120018091,2.1743698528162767,1.5163938917963034
100,nhdhr_120018078,3.278265271205924,3.4470175448566995
101,nhdhr_147307413,5.942690176498954,5.359188189679943
102,nhdhr_120018204,3.2557842712889995,2.1541416566164013
103,nhdhr_120020207,3.1041135418824717,3.8271315266623636
104,nhdhr_143249705,4.801336121001013,4.232255173836749
105,nhdhr_120018079,2.168043582781145,1.9726262959755836
106,nhdhr_120018089,2.6435717737398376,1.9964044667917176
107,nhdhr_120018423,205.59611933709826,3.964255835870034
108,nhdhr_120019246,2.205577522431912,2.437326024437506
109,nhdhr_120018102,3.2129360489614722,2.399217809409868
110,nhdhr_120018094,3.741162308392471,3.2918786999679157
111,nhdhr_120018022,2.6247639457602867,1.3844852148330589
112,nhdhr_120018072,2.237663277360253,1.546058865902889
113,nhdhr_120018025,2.212896051205765,2.2959934199089
114,nhdhr_151948642,4.875780512608154,6.180551819606578
115,nhdhr_121623808,6.072061271918684,1.0520088587889516
116,nhdhr_120020343,18.526825577995456,4.531065405516786
117,nhdhr_113471457,0.024919671010444146,0.21756912767887115
118,nhdhr_143249221,0.38428413838431663,0.5048184669750623
119,nhdhr_120020225,4.451908466720389,4.182037250586785
120,nhdhr_120019661,4.368890165188656,3.1934817980307355
121,nhdhr_120017988,4.560061603148739,2.0081392113417276
122,nhdhr_143249294,5.99805874514847,5.88364300894029
123,nhdhr_120018088,4.3890914069520255,1.8134309450465411
124,nhdhr_120020370,2.6571299416132446,2.4943299244139188
125,nhdhr_120019932,2.7580615829679704,2.4980316690186686
126,nhdhr_120020357,2.530259044425478,2.740977870482126
127,nhdhr_120020245,2.440566752781378,3.2342388299979294
128,nhdhr_120018140,1.835775325497481,1.926581603031695
129,nhdhr_120020226,1.5601059000735455,1.0524494642978532
130,nhdhr_120019849,1.392712090283817,1.036927290215293
131,nhdhr_120018008,2.3585904770335038,2.1231133032619742
132,nhdhr_120020198,5.571041094474565,6.118131226984511
133,nhdhr_120020367,2.021624156183976,2.383838135229873
134,nhdhr_120018097,2.736355626816751,1.878000596240945
135,nhdhr_120020800,3.04319772097902,3.3182595496275495
136,nhdhr_120020388,2.528561966379945,2.8067859591680793
137,nhdhr_120018059,2.519879896468633,2.0074950066150357
138,nhdhr_120020350,3.3358178959408247,3.323755730134872
139,nhdhr_141288146,4.679995226721258,5.025040365529702
140,nhdhr_120020212,4.933332878836631,3.596988251625644
141,nhdhr_120018005,3.9387139257318617,3.9703661221638935
142,nhdhr_120020240,5.128169868499143,4.383391556990755
143,nhdhr_120018071,1.669239632219662,1.5522577495838095
